,0,1,2,3,4,5,6,7,8,9
2233,Farm House,,,,,,,,,
2234,Coffee,Muffin,,,,,,,,
2235,Bread,Coffee,,,,,,,,
2236,Coffee,,,,,,,,,
2237,Coffee,,,,,,,,,
2238,Farm House,Scandinavian,,,,,,,,
2239,Coffee,,,,,,,,,
2240,Tea,,,,,,,,,
2241,Coffee,Muffin,,,,,,,,
2242,Bread,,,,,,,,,
2243,Bread,Scandinavian,,,,,,,,
2244,Tea,,,,,,,,,
2245,Medialuna,Coffee,,,,,,,,
2246,Tea,NONE,,,,,,,,
2247,Tea,Sandwich,,,,,,,,
2248,Coffee,Cake,,,,,,,,
2249,Coffee,NONE,Cake,Muffin,,,,,,
2250,Cookies,,,,,,,,,
2251,Tea,,,,,,,,,
2252,NONE,Sandwich,,,,,,,,
2253,Farm House,,,,,,,,,
2254,Cake,Sandwich,NONE,,,,,,,
2255,Bread,Coffee,Cake,Hot chocolate,,,,,,
2256,Tea,Muffin,,,,,,,,
2257,Fudge,Coffee,Jam,Tea,Bread,,,,,
2258,Juice,Cookies,Tea,,,,,,,
2259,Coffee,Cake,Bread,,,,,,,
2260,Coke,,,,,,,,,
2261,Pastry,Tiffin,,,,,,,,
2262,Alfajores,,,,,,,,,
2263,Tiffin,Coffee,,,,,,,,
2264,Bread,,,,,,,,,
2265,Bread,,,,,,,,,
2266,Medialuna,Bread,,,,,,,,
2267,Bread,Cake,,,,,,,,
2268,Bread,,,,,,,,,
2269,Farm House,,,,,,,,,
2270,Pastry,Medialuna,,,,,,,,
2271,Cookies,Coffee,Keeping It Local,,,,,,,
2272,Coffee,,,,,,,,,
2273,Tea,Coffee,Hot chocolate,,,,,,,
2274,Smoothies,,,,,,,,,
2275,Coffee,Keeping It Local,,,,,,,,
2276,Coffee,,,,,,,,,
2277,Farm House,,,,,,,,,
2278,Tea,,,,,,,,,
2279,Bread,Medialuna,,,,,,,,
2280,Pastry,Bread,,,,,,,,
2281,Pastry,Coffee,,,,,,,,
2282,Coffee,Keeping It Local,,,,,,,,
2283,Coffee,,,,,,,,,
2284,Bread,,,,,,,,,
2285,Cookies,Bread,,,,,,,,
2286,Coffee,,,,,,,,,
2287,Bread,,,,,,,,,
2288,Fudge,Coffee,Jam,Keeping It Local,NONE,,,,,
2289,Coffee,Keeping It Local,Tea,Hot chocolate,NONE,Art Tray,,,,
2290,Coffee,,,,,,,,,
2291,Coffee,Cake,,,,,,,,
2292,Bread,Jammie Dodgers,,,,,,,,
2293,Smoothies,Muffin,,,,,,,,
2294,Cookies,Coffee,NONE,Jammie Dodgers,,,,,,
2295,Coffee,Cake,Bread,,,,,,,
2296,Cookies,Bread,Muffin,,,,,,,
2297,Bread,,,,,,,,,
2298,Tea,NONE,,,,,,,,
2299,Hot chocolate,NONE,Bread,Alfajores,,,,,,
2300,Tea,,,,,,,,,
2301,Muffin,,,,,,,,,
2302,Mineral water,Coffee,Alfajores,Bread,NONE,Sandwich,,,,
2303,NONE,Sandwich,Alfajores,,,,,,,
2304,Coffee,,,,,,,,,
2305,Coffee,Muffin,,,,,,,,
2306,Tiffin,Coffee,,,,,,,,
2307,Coffee,Bread,,,,,,,,
2308,Cookies,Hot chocolate,,,,,,,,
2309,Tea,NONE,,,,,,,,
2310,Bread,Hot chocolate,,,,,,,,
2311,Hot chocolate,Fudge,,,,,,,,
2312,Coffee,,,,,,,,,
2313,Tiffin,Coffee,,,,,,,,
2314,Tiffin,Bread,,,,,,,,
2315,Bread,,,,,,,,,
2316,Pastry,Bread,Jam,,,,,,,
2317,Hot chocolate,,,,,,,,,
2318,Pastry,Coffee,Hot chocolate,Bread,,,,,,
2319,Pastry,Coffee,,,,,,,,
2320,Tea,Bread,Muffin,Pastry,,,,,,
2321,Bread,Coffee,,,,,,,,
2322,Pastry,Coffee,,,,,,,,
2323,Tea,NONE,,,,,,,,
2324,Tea,NONE,,,,,,,,
2325,Tea,The Nomad,,,,,,,,
2326,Coffee,,,,,,,,,
2327,Medialuna,,,,,,,,,
2328,Farm House,,,,,,,,,
2329,Bread,,,,,,,,,
2330,Coffee,,,,,,,,,
2331,Farm House,,,,,,,,,
2332,Pastry,Bread,Coffee,Keeping It Local,,,,,,
2333,Bread,Coffee,,,,,,,,
2334,Hearty & Seasonal,,,,,,,,,
2335,Bread,,,,,,,,,
2336,Fudge,,,,,,,,,
2337,Scandinavian,,,,,,,,,
2338,Bread,Alfajores,,,,,,,,
2339,Juice,Coke,Coffee,Sandwich,,,,,,
2340,Farm House,,,,,,,,,
2341,Bread,,,,,,,,,
2342,Coffee,Medialuna,,,,,,,,
2343,Pastry,Bread,Coffee,,,,,,,
2344,Coffee,Sandwich,,,,,,,,
2345,Bread,,,,,,,,,
2346,Bread,Muffin,,,,,,,,
2347,Coffee,,,,,,,,,
2348,Coffee,Muffin,,,,,,,,
2349,Coffee,,,,,,,,,
2350,Fudge,Spread,,,,,,,,
2351,Bread,,,,,,,,,
2352,Pastry,Coffee,Bread,,,,,,,
2353,Coffee,Cake,,,,,,,,
2354,Coffee,,,,,,,,,
2355,Bread,,,,,,,,,
2356,Tea,,,,,,,,,
2357,Coffee,,,,,,,,,
2358,Hot chocolate,Coffee,Cake,,,,,,,
2359,Tea,Bread,,,,,,,,
2360,Cake,,,,,,,,,
2361,Medialuna,,,,,,,,,
2362,Pastry,Coffee,,,,,,,,
2363,Coffee,,,,,,,,,
2364,Coffee,,,,,,,,,
2365,Bread,,,,,,,,,
2366,Coffee,Cake,,,,,,,,
2367,Bread,,,,,,,,,
2368,Coffee,,,,,,,,,
2369,Coffee,,,,,,,,,
2370,Tea,,,,,,,,,
2371,Coffee,Keeping It Local,,,,,,,,
2372,Tea,Sandwich,,,,,,,,
2373,Coffee,,,,,,,,,
2374,Coffee,,,,,,,,,
2375,Coffee,,,,,,,,,
2376,Bread,,,,,,,,,
2377,Tea,Bread,,,,,,,,
2378,Pastry,Coffee,,,,,,,,
2379,Pastry,Coffee,Bread,,,,,,,
2380,Coffee,Medialuna,,,,,,,,
2381,Tea,Coffee,,,,,,,,
2382,Bread,,,,,,,,,
2383,Coffee,,,,,,,,,
2384,Pastry,Coffee,Cookies,Medialuna,,,,,,
2385,Bread,Cake,,,,,,,,
2386,Bread,Coffee,,,,,,,,
2387,Bread,,,,,,,,,
2388,Coffee,NONE,,,,,,,,
2389,Toast,,,,,,,,,
2390,Hot chocolate,,,,,,,,,
2391,Fudge,Scandinavian,,,,,,,,
2392,Medialuna,Coffee,,,,,,,,
2393,Pastry,Coffee,,,,,,,,
2394,Coffee,Cake,Medialuna,,,,,,,
2395,Fudge,Sandwich,Farm House,,,,,,,
2396,Scone,Sandwich,,,,,,,,
2397,Bread,Sandwich,,,,,,,,
2398,Sandwich,,,,,,,,,
2399,Coffee,NONE,,,,,,,,
2400,Bread,Sandwich,,,,,,,,
2401,Coke,Sandwich,,,,,,,,
2402,Coke,Sandwich,,,,,,,,
2403,Sandwich,,,,,,,,,
2404,Scone,Sandwich,,,,,,,,
2405,Hot chocolate,NONE,,,,,,,,
2406,Coffee,Muffin,,,,,,,,
2407,Bread,,,,,,,,,
2408,Bread,,,,,,,,,
2409,Bread,,,,,,,,,
2410,Coffee,Alfajores,,,,,,,,
2411,Bread,Sandwich,,,,,,,,
2412,Bread,Scone,,,,,,,,
2413,Coffee,Medialuna,,,,,,,,
2414,Cake,,,,,,,,,
2415,NONE,Truffles,,,,,,,,
2416,Coffee,Cake,,,,,,,,
2417,Scone,,,,,,,,,
2418,Cookies,Hot chocolate,Scone,Mineral water,,,,,,
2419,Tea,Coffee,Scone,,,,,,,
2420,Bread,,,,,,,,,
2421,Coffee,NONE,,,,,,,,
2422,Bread,,,,,,,,,
2423,Bread,Jam,Scandinavian,,,,,,,
2424,Bread,Scandinavian,,,,,,,,
2425,Coffee,Medialuna,,,,,,,,
2426,Pastry,Bread,,,,,,,,
2427,Bread,,,,,,,,,
2428,Farm House,,,,,,,,,
2429,Hot chocolate,Scone,Coffee,NONE,,,,,,
2430,Pastry,Medialuna,Farm House,Coffee,Hot chocolate,NONE,,,,
2431,Bread,,,,,,,,,
2432,Bread,Coffee,,,,,,,,
2433,Coffee,Scandinavian,,,,,,,,
2434,Bread,,,,,,,,,
2435,Pastry,Coffee,Medialuna,,,,,,,
2436,Bread,Scandinavian,,,,,,,,
2437,Coffee,Scone,,,,,,,,
2438,Coffee,,,,,,,,,
2439,Bread,,,,,,,,,
2440,Pastry,Bread,,,,,,,,
2441,Coffee,Bread,,,,,,,,
2442,Bread,,,,,,,,,
2443,Bread,,,,,,,,,
2444,Coffee,,,,,,,,,
2445,Coffee,Scone,,,,,,,,
2446,Cake,,,,,,,,,
2447,Coffee,,,,,,,,,
2448,Bread,Fudge,,,,,,,,
2449,Medialuna,Farm House,Bread,,,,,,,
2450,Scone,Muffin,,,,,,,,
2451,Coffee,NONE,,,,,,,,
2452,Coffee,Scone,Alfajores,,,,,,,
2453,Coffee,,,,,,,,,
2454,Tea,Scone,,,,,,,,
2455,Juice,Cake,Tea,,,,,,,
2456,Fudge,Coffee,Tartine,Jam,NONE,,,,,
2457,Bread,,,,,,,,,
2458,Coffee,Medialuna,,,,,,,,
2459,Tea,Bread,NONE,,,,,,,
2460,Coke,NONE,,,,,,,,
2461,Coffee,Medialuna,,,,,,,,
2462,Bread,,,,,,,,,
2463,Bread,Truffles,,,,,,,,
2464,Pastry,Coffee,Cake,Tea,Bread,NONE,,,,
2465,Sandwich,,,,,,,,,
2466,Hot chocolate,,,,,,,,,
2467,Coffee,Sandwich,,,,,,,,
2468,Tea,Coffee,NONE,Sandwich,,,,,,
2469,Coffee,Scone,,,,,,,,
2470,Cake,,,,,,,,,
2471,Cookies,Bread,,,,,,,,
2472,Coffee,Sandwich,,,,,,,,
2473,Coffee,Cake,Scone,,,,,,,
2474,Bread,Mineral water,,,,,,,,
2475,Coffee,Bread,,,,,,,,
2476,Cake,Scone,Muffin,,,,,,,
2477,Tea,Scone,,,,,,,,
2478,Pastry,Muffin,,,,,,,,
2479,Coffee,Cake,Muffin,,,,,,,
2480,Cake,,,,,,,,,
2481,Tea,Bread,Scone,Cake,,,,,,
2482,Coffee,Medialuna,,,,,,,,
2483,Fudge,Jam,,,,,,,,
2484,Pastry,Scone,,,,,,,,
2485,Hot chocolate,Fudge,,,,,,,,
2486,Juice,Coffee,Cake,Sandwich,,,,,,
2487,Bread,,,,,,,,,
2488,Juice,Coffee,,,,,,,,
2489,Bread,Scone,Coffee,Hot chocolate,,,,,,
2490,Coffee,Scone,Hot chocolate,Muffin,,,,,,
2491,Bread,,,,,,,,,
2492,Medialuna,,,,,,,,,
2493,Cake,Alfajores,,,,,,,,
2494,Hot chocolate,,,,,,,,,
2495,Coffee,,,,,,,,,
2496,Coffee,,,,,,,,,
2497,Tea,Coffee,,,,,,,,
2498,Bread,Cake,Jam,Coffee,,,,,,
2499,Coffee,,,,,,,,,
2500,Tea,Scone,,,,,,,,
2501,Bread,,,,,,,,,
2502,Bread,,,,,,,,,
2503,Hot chocolate,Smoothies,Muffin,Toast,,,,,,
2504,Medialuna,Muffin,Alfajores,,,,,,,
2505,Bread,Coffee,Scone,,,,,,,
2506,Tea,Juice,,,,,,,,
2507,Coffee,Bread,,,,,,,,
2508,Pastry,,,,,,,,,
2509,Tea,Bread,Pastry,,,,,,,
2510,Coffee,Medialuna,,,,,,,,
2511,Coffee,Medialuna,,,,,,,,
2512,Bread,,,,,,,,,
2513,Pastry,Bread,,,,,,,,
2514,Bread,Toast,,,,,,,,
2515,Bread,Medialuna,Toast,,,,,,,
2516,Pastry,Coffee,Scone,NONE,,,,,,
2517,Tea,Coffee,Muffin,,,,,,,
2518,Coffee,Toast,,,,,,,,
2519,Pastry,Coffee,Medialuna,,,,,,,
2520,Bread,Ella's Kitchen Pouches,,,,,,,,
2521,Coffee,Toast,,,,,,,,
2522,Bread,Medialuna,,,,,,,,
2523,Tea,Hot chocolate,,,,,,,,
2524,Bread,Muffin,,,,,,,,
2525,Coffee,NONE,Bread,,,,,,,
2526,Farm House,,,,,,,,,
2527,Coffee,,,,,,,,,
2528,Cookies,Bread,NONE,Alfajores,,,,,,
2529,Pastry,Coffee,Medialuna,Alfajores,,,,,,
2530,Bread,Coffee,,,,,,,,
2531,Bread,,,,,,,,,
2532,Coffee,NONE,Truffles,,,,,,,
2533,Coffee,Fudge,Bread,,,,,,,
2534,Bread,,,,,,,,,
2535,Coffee,Bread,,,,,,,,
2536,Bread,,,,,,,,,
2537,Alfajores,Coffee,Medialuna,Crepes,,,,,,
2538,Coffee,NONE,Cake,,,,,,,
2539,Cookies,Bread,Coffee,Cake,,,,,,
2540,Coffee,,,,,,,,,
2541,Bread,,,,,,,,,
2542,Farm House,,,,,,,,,
2543,Bread,,,,,,,,,
2544,Coffee,Medialuna,,,,,,,,
2545,Tea,Hot chocolate,Coffee,Cake,,,,,,
2546,Tea,Hot chocolate,Truffles,,,,,,,
2547,Hot chocolate,,,,,,,,,
2548,Coffee,NONE,Sandwich,Crepes,,,,,,
2549,Bread,Crepes,,,,,,,,
2550,Muffin,Medialuna,Coffee,Cake,Bread,,,,,
2551,Coffee,,,,,,,,,
2552,Cookies,Bread,Coffee,,,,,,,
2553,Medialuna,Crepes,,,,,,,,
2554,Muffin,,,,,,,,,
2555,Tea,Medialuna,,,,,,,,
2556,Pastry,,,,,,,,,
2557,Tea,,,,,,,,,
2558,Coffee,Scone,,,,,,,,
2559,Bread,Coffee,,,,,,,,
2560,Tea,Truffles,,,,,,,,
2561,Cookies,,,,,,,,,
2562,Coffee,,,,,,,,,
2563,Bread,,,,,,,,,
2564,Pastry,Coffee,Bread,Toast,,,,,,
2565,Coffee,NONE,,,,,,,,
2566,Muffin,,,,,,,,,
2567,Bread,,,,,,,,,
2568,Farm House,,,,,,,,,
2569,Coffee,NONE,,,,,,,,
2570,Bread,,,,,,,,,
2571,Bread,,,,,,,,,
2572,Tea,Coffee,Alfajores,Pastry,,,,,,
2573,Coffee,Medialuna,Toast,,,,,,,
2574,Coffee,,,,,,,,,
2575,Juice,Bread,Medialuna,Tea,,,,,,
2576,Medialuna,Coffee,Toast,,,,,,,
2577,Pastry,Tea,,,,,,,,
2578,Farm House,,,,,,,,,
2579,Coffee,,,,,,,,,
2580,Coffee,,,,,,,,,
2581,Coffee,Muffin,,,,,,,,
2582,Coffee,,,,,,,,,
2583,Coffee,Muffin,,,,,,,,
2584,Coffee,Sandwich,,,,,,,,
2585,Pastry,Bread,Coffee,Dulce de Leche,,,,,,
2586,Jam,,,,,,,,,
2587,Coffee,Medialuna,,,,,,,,
2588,Cookies,Coffee,Pastry,,,,,,,
2589,Farm House,,,,,,,,,
2590,Coffee,,,,,,,,,
2591,Coffee,,,,,,,,,
2592,Pastry,Bread,,,,,,,,
2593,Juice,Sandwich,,,,,,,,
2594,Coffee,Alfajores,,,,,,,,
2595,Coffee,Sandwich,,,,,,,,
2596,Bread,,,,,,,,,
2597,Bread,,,,,,,,,
2598,Tea,Bread,Medialuna,,,,,,,
2599,Coffee,Muffin,,,,,,,,
2600,Tea,Cake,,,,,,,,
2601,Cookies,Coffee,,,,,,,,
2602,Coke,Hearty & Seasonal,,,,,,,,
2603,Coffee,Sandwich,Muffin,,,,,,,
2604,Alfajores,,,,,,,,,
2605,Alfajores,,,,,,,,,
2606,Coffee,Sandwich,,,,,,,,
2607,Hot chocolate,Coffee,Sandwich,Muffin,,,,,,
2608,Muffin,,,,,,,,,
2609,Tea,Coffee,Bread,,,,,,,
2610,Coffee,,,,,,,,,
2611,Cookies,Bread,Medialuna,Tea,,,,,,
2612,Coffee,,,,,,,,,
2613,Coffee,Bread,,,,,,,,
2614,Coffee,Sandwich,Bread,Alfajores,,,,,,
2615,Cookies,Coffee,Medialuna,Bread,,,,,,
2616,Cookies,Coffee,,,,,,,,
2617,Farm House,,,,,,,,,
2618,Coffee,,,,,,,,,
2619,Coke,,,,,,,,,
2620,Coffee,Bread,,,,,,,,
2621,Pastry,Bread,,,,,,,,
2622,Coffee,,,,,,,,,
2623,Hot chocolate,Bread,Muffin,Alfajores,,,,,,
2624,Coffee,,,,,,,,,
2625,Bread,,,,,,,,,
2626,Coffee,,,,,,,,,
2627,Coffee,Medialuna,,,,,,,,
2628,Coffee,NONE,,,,,,,,
2629,Pastry,Medialuna,Bread,,,,,,,
2630,Coffee,Muffin,,,,,,,,
2631,Bread,,,,,,,,,
2632,Bread,,,,,,,,,
2633,Bread,Coffee,,,,,,,,
2634,Tea,Bread,,,,,,,,
2635,Cookies,Bread,Muffin,,,,,,,
2636,Tea,Coffee,,,,,,,,
2637,Pastry,Medialuna,Bread,,,,,,,
2638,Coffee,Alfajores,,,,,,,,
2639,Toast,,,,,,,,,
2640,Coffee,,,,,,,,,
2641,Tea,,,,,,,,,
2642,Hot chocolate,Medialuna,,,,,,,,
2643,Pastry,Coffee,,,,,,,,
2644,Coffee,,,,,,,,,
2645,Bread,Cake,,,,,,,,
2646,Coffee,Cake,,,,,,,,
2647,Pastry,Coffee,Hot chocolate,,,,,,,
2648,Tea,NONE,,,,,,,,
2649,Bread,,,,,,,,,
2650,Tea,NONE,,,,,,,,
2651,Bread,Farm House,,,,,,,,
2652,Coffee,,,,,,,,,
2653,Bread,,,,,,,,,
2654,Bread,NONE,,,,,,,,
2655,Cookies,Bread,,,,,,,,
2656,Coffee,Bread,,,,,,,,
2657,Cookies,Coffee,,,,,,,,
2658,Farm House,,,,,,,,,
2659,Bread,,,,,,,,,
2660,Coffee,,,,,,,,,
2661,Tea,Coffee,Sandwich,Muffin,,,,,,
2662,Coffee,Cake,Bread,,,,,,,
2663,Bread,NONE,,,,,,,,
2664,Tea,NONE,,,,,,,,
2665,Tea,Coffee,,,,,,,,
2666,Coffee,,,,,,,,,
2667,Tea,Sandwich,Alfajores,,,,,,,
2668,Mineral water,Coffee,Cake,Alfajores,NONE,Sandwich,,,,
2669,Coffee,Bread,,,,,,,,
2670,Coffee,NONE,,,,,,,,
2671,Tea,Cake,,,,,,,,
2672,Bread,,,,,,,,,
2673,Cookies,,,,,,,,,
2674,Juice,Coffee,,,,,,,,
2675,Juice,Coffee,Mineral water,Muffin,,,,,,
2676,Bread,,,,,,,,,
2677,Bread,,,,,,,,,
2678,Bread,,,,,,,,,
2679,Juice,Hot chocolate,Bread,NONE,Toast,,,,,
2680,Coffee,Cake,Bread,,,,,,,
2681,Coffee,Toast,,,,,,,,
2682,Coffee,Toast,,,,,,,,
2683,Tea,,,,,,,,,
2684,Tea,Cookies,Toast,,,,,,,
2685,Farm House,,,,,,,,,
2686,Bread,Cake,,,,,,,,
2687,Bread,NONE,,,,,,,,
2688,Coffee,,,,,,,,,
2689,Tea,Alfajores,,,,,,,,
2690,Bread,,,,,,,,,
2691,Coffee,NONE,,,,,,,,
2692,Juice,Coffee,Tea,,,,,,,
2693,Coffee,Medialuna,,,,,,,,
2694,Bread,,,,,,,,,
2695,Medialuna,Coffee,,,,,,,,
2696,Tea,Cake,,,,,,,,
2697,Bread,Coffee,,,,,,,,
2698,Farm House,,,,,,,,,
2699,Bread,,,,,,,,,
2700,Farm House,Crepes,,,,,,,,
2701,Bread,,,,,,,,,
2702,Hot chocolate,,,,,,,,,
2703,Coffee,Sandwich,Hot chocolate,,,,,,,
2704,Sandwich,,,,,,,,,
2705,Coffee,NONE,Truffles,,,,,,,
2706,Jam,,,,,,,,,
2707,Bread,,,,,,,,,
2708,Bread,,,,,,,,,
2709,Coffee,NONE,Sandwich,Mineral water,,,,,,
2710,Bread,,,,,,,,,
2711,Cookies,Coke,NONE,,,,,,,
2712,Bread,,,,,,,,,
2713,Coffee,Sandwich,,,,,,,,
2714,Bread,Coffee,,,,,,,,
2715,Tea,Coffee,NONE,,,,,,,
2716,Tea,Coffee,,,,,,,,
2717,Hot chocolate,,,,,,,,,
2718,Coffee,Alfajores,,,,,,,,
2719,Coffee,Cake,Fudge,Jam,,,,,,
2720,Cake,,,,,,,,,
2721,Coffee,Bread,,,,,,,,
2722,Pastry,Coffee,,,,,,,,
2723,Pastry,Coffee,,,,,,,,
2724,Pastry,Coffee,,,,,,,,
2725,Bread,Truffles,,,,,,,,
2726,Coffee,,,,,,,,,
2727,Coffee,,,,,,,,,
2728,Coffee,Vegan mincepie,Mineral water,Toast,,,,,,
2729,Medialuna,Bread,,,,,,,,
2730,Coffee,Cake,,,,,,,,
2731,Pastry,Coffee,NONE,,,,,,,
2732,Coffee,,,,,,,,,
2733,Coffee,,,,,,,,,
2734,Cookies,Bread,Cake,,,,,,,
2735,Tea,Coffee,Cake,Bread,,,,,,
2736,Juice,Toast,,,,,,,,
2737,Bread,,,,,,,,,
2738,Pastry,,,,,,,,,
2739,Coffee,,,,,,,,,
2740,Truffles,,,,,,,,,
2741,Tea,,,,,,,,,
2742,Bread,,,,,,,,,
2743,Farm House,,,,,,,,,
2744,Coffee,NONE,Cake,,,,,,,
2745,Coffee,NONE,Sandwich,,,,,,,
2746,Tea,,,,,,,,,
2747,Tea,Hearty & Seasonal,,,,,,,,
2748,Coffee,NONE,,,,,,,,
2749,Coffee,,,,,,,,,
2750,Tea,NONE,Cake,,,,,,,
2751,Farm House,,,,,,,,,
2752,Coffee,,,,,,,,,
2753,Coffee,NONE,,,,,,,,
2754,Bread,,,,,,,,,
2755,Coffee,Cake,,,,,,,,
2756,Cake,,,,,,,,,
2757,Medialuna,Brownie,Alfajores,,,,,,,
2758,Bread,,,,,,,,,
2759,Bread,,,,,,,,,
2760,Bread,Jam,,,,,,,,
2761,Tea,Sandwich,,,,,,,,
2762,Juice,Coffee,Coke,Medialuna,,,,,,
2763,Coffee,Bread,Toast,,,,,,,
2764,Bread,Coffee,Toast,,,,,,,
2765,Bread,Coffee,Medialuna,,,,,,,
2766,Coffee,NONE,,,,,,,,
2767,Bread,Toast,,,,,,,,
2768,Bread,,,,,,,,,
2769,Coffee,Cake,Medialuna,,,,,,,
2770,Tea,,,,,,,,,
2771,Tea,,,,,,,,,
2772,Coffee,Medialuna,,,,,,,,
2773,Bread,,,,,,,,,
2774,Bread,Coffee,,,,,,,,
2775,Bread,,,,,,,,,
2776,Bread,Brownie,,,,,,,,
2777,Coffee,,,,,,,,,
2778,Tea,The Nomad,,,,,,,,
2779,Fudge,,,,,,,,,
2780,Coffee,Alfajores,,,,,,,,
2781,Bread,,,,,,,,,
2782,Coffee,Alfajores,,,,,,,,
2783,Coffee,Brownie,,,,,,,,
2784,Bread,,,,,,,,,
2785,Fudge,Jam,,,,,,,,
2786,Tea,,,,,,,,,
2787,Coffee,,,,,,,,,
2788,Coffee,,,,,,,,,
2789,Bread,,,,,,,,,
2790,Coffee,,,,,,,,,
2791,Coffee,NONE,,,,,,,,
2792,Medialuna,Cake,,,,,,,,
2793,Coffee,Cake,,,,,,,,
2794,Coffee,,,,,,,,,
2795,Fudge,The Nomad,Brownie,Tea,Bread,,,,,
2796,Tea,Scone,,,,,,,,
2797,Bread,,,,,,,,,
2798,Juice,Mineral water,Coffee,Bread,NONE,Sandwich,,,,
2799,Bread,Scandinavian,,,,,,,,
2800,NONE,Sandwich,,,,,,,,
2801,Coffee,Brownie,,,,,,,,
2802,Bread,NONE,Brownie,Hearty & Seasonal,,,,,,
2803,Tea,Hearty & Seasonal,,,,,,,,
2804,Coffee,Brownie,,,,,,,,
2805,Coffee,Farm House,,,,,,,,
2806,Coffee,Scone,,,,,,,,
2807,Alfajores,Scone,Crepes,,,,,,,
2808,Scandinavian,,,,,,,,,
2809,Cake,,,,,,,,,
2810,Bread,,,,,,,,,
2811,Bread,,,,,,,,,
2812,Tea,Bread,,,,,,,,
2813,Brownie,Mineral water,,,,,,,,
2814,Farm House,,,,,,,,,
2815,Coffee,,,,,,,,,
2816,Bread,Scone,Sandwich,Coffee,,,,,,
2817,Coffee,Alfajores,Tea,Hot chocolate,NONE,Sandwich,,,,
2818,Juice,Bread,Scone,,,,,,,
2819,Coffee,,,,,,,,,
2820,Bread,,,,,,,,,
2821,Bread,,,,,,,,,
2822,Pastry,Coffee,Toast,,,,,,,
2823,Bread,Focaccia,,,,,,,,
2824,Scone,,,,,,,,,
2825,Focaccia,,,,,,,,,
2826,Scandinavian,,,,,,,,,
2827,Tea,Coffee,,,,,,,,
2828,Coffee,NONE,Farm House,,,,,,,
2829,Pastry,Focaccia,,,,,,,,
2830,Pastry,Coffee,Medialuna,,,,,,,
2831,Bread,Sandwich,,,,,,,,
2832,Bread,Coffee,Jam,Medialuna,,,,,,
2833,Tea,Coffee,NONE,Sandwich,,,,,,
2834,Coffee,Farm House,,,,,,,,
2835,Bread,,,,,,,,,
2836,Bread,NONE,Coffee,,,,,,,
2837,Coffee,Scandinavian,Toast,,,,,,,
2838,Bread,Farm House,Medialuna,,,,,,,
2839,Bread,,,,,,,,,
2840,Cake,,,,,,,,,
2841,Pastry,Coffee,Brownie,,,,,,,
2842,Bread,NONE,,,,,,,,
2843,Tea,Coffee,Scone,,,,,,,
2844,Coffee,,,,,,,,,
2845,Tea,Bread,,,,,,,,
2846,Coffee,Scone,,,,,,,,
2847,Farm House,Scandinavian,,,,,,,,
2848,Vegan mincepie,Cake,,,,,,,,
2849,Tea,Coffee,,,,,,,,
2850,Bread,,,,,,,,,
2851,Coffee,,,,,,,,,
2852,Scandinavian,,,,,,,,,
2853,Bread,,,,,,,,,
2854,Tea,Bread,NONE,,,,,,,
2855,Pastry,Medialuna,Coffee,,,,,,,
2856,Juice,NONE,Truffles,,,,,,,
2857,Coffee,NONE,Jammie Dodgers,Art Tray,,,,,,
2858,Frittata,,,,,,,,,
2859,Bread,NONE,,,,,,,,
2860,Coffee,Sandwich,,,,,,,,
2861,Juice,Coffee,NONE,,,,,,,
2862,Tea,Sandwich,,,,,,,,
2863,Jam,,,,,,,,,
2864,Scone,,,,,,,,,
2865,Coffee,NONE,Sandwich,,,,,,,
2866,Coffee,NONE,,,,,,,,
2867,Tea,Bread,NONE,,,,,,,
2868,Tea,Frittata,Bread,,,,,,,
2869,Scandinavian,,,,,,,,,
2870,Coffee,Truffles,NONE,Sandwich,Art Tray,,,,,
2871,Juice,Frittata,Scone,,,,,,,
2872,Tea,NONE,,,,,,,,
2873,Coffee,Mineral water,Frittata,,,,,,,
2874,Tea,Coffee,,,,,,,,
2875,Bread,Scone,Brownie,,,,,,,
2876,Coffee,,,,,,,,,
2877,Frittata,Coffee,Sandwich,,,,,,,
2878,Tea,NONE,,,,,,,,
2879,Tea,Coffee,,,,,,,,
2880,Vegan mincepie,Coffee,Hot chocolate,,,,,,,
2881,Juice,,,,,,,,,
2882,Tea,Cake,,,,,,,,
2883,Tea,,,,,,,,,
2884,Bread,Farm House,,,,,,,,
2885,Mineral water,Coffee,Scone,Tea,Bread,,,,,
2886,Bread,,,,,,,,,
2887,Bread,Hot chocolate,,,,,,,,
2888,Coke,Sandwich,,,,,,,,
2889,Sandwich,Mineral water,,,,,,,,
2890,Tea,Hot chocolate,Cake,,,,,,,
2891,Scandinavian,,,,,,,,,
2892,Frittata,Cake,,,,,,,,
2893,Cake,,,,,,,,,
2894,Coffee,Bread,,,,,,,,
2895,Tea,Coffee,Bread,,,,,,,
2896,Coffee,Scone,,,,,,,,
2897,Bread,,,,,,,,,
2898,Jam,,,,,,,,,
2899,Bread,NONE,,,,,,,,
2900,Coffee,Medialuna,,,,,,,,
2901,Bread,Farm House,,,,,,,,
2902,Bread,,,,,,,,,
2903,Pastry,Coffee,,,,,,,,
2904,Bread,Coffee,,,,,,,,
2905,Medialuna,Coffee,,,,,,,,
2906,Bread,Scone,,,,,,,,
2907,Coke,Coffee,,,,,,,,
2908,Coffee,,,,,,,,,
2909,Truffles,,,,,,,,,
2910,Bread,,,,,,,,,
2911,Mineral water,,,,,,,,,
